experiment,run,selected_template,correct_template,success,turns,user_chars,questions,correct_rank,input_tokens,output_tokens
close-templates,1,react-ssr-postgres-auth.yaml,react-ssr-postgres-auth.yaml,True,3,131,1,1,3142,257
close-templates,2,react-ssr-postgres-auth.yaml,react-ssr-postgres-auth.yaml,True,5,179,2,2,3880,375
close-templates,3,react-ssr-postgres-auth.yaml,react-ssr-postgres-auth.yaml,True,3,142,1,1,3158,239
close-templates,4,react-ssr-postgres-auth.yaml,react-ssr-postgres-auth.yaml,True,5,146,2,2,3824,353
close-templates,5,react-ssr-postgres-auth.yaml,react-ssr-postgres-auth.yaml,True,7,182,3,3,4528,427
close-templates,6,react-ssr-postgres-auth.yaml,react-ssr-postgres-auth.yaml,True,3,124,1,1,3160,272
close-templates,7,react-ssr-postgres-auth.yaml,react-ssr-postgres-auth.yaml,True,3,155,1,1,3144,274
close-templates,8,react-ssr-postgres-auth.yaml,react-ssr-postgres-auth.yaml,True,3,161,1,1,3148,251
close-templates,9,react-ssr-postgres-auth.yaml,react-ssr-postgres-auth.yaml,True,3,160,1,2,3180,266
close-templates,10,react-ssr-postgres-auth.yaml,react-ssr-postgres-auth.yaml,True,3,124,1,1,3158,272
