experiment,run,selected_template,correct_template,success,turns,user_chars,questions,correct_rank,input_tokens,output_tokens
conflicting-signals,1,node-serverless-websocket.yaml,node-postgres-backend,False,5,185,2,-1,3858,351
conflicting-signals,2,node-serverless-websocket.yaml,node-postgres-backend,False,5,159,2,-1,3824,335
conflicting-signals,3,node-serverless-websocket.yaml,node-postgres-backend,False,5,184,2,-1,3829,342
conflicting-signals,4,node-websocket-api,node-postgres-backend,False,3,144,1,-1,3155,273
conflicting-signals,5,node-serverless-websocket.yaml,node-postgres-backend,False,5,183,2,-1,3824,320
conflicting-signals,6,node-serverless-websocket.yaml,node-postgres-backend,False,5,175,2,-1,3824,349
conflicting-signals,7,node-postgres-backend,node-postgres-backend,True,3,140,1,-1,3171,262
conflicting-signals,8,node-serverless-websocket.yaml,node-postgres-backend,False,7,184,3,-1,4529,437
conflicting-signals,9,node-serverless-websocket.yaml,node-postgres-backend,False,5,169,2,-1,3833,355
conflicting-signals,10,node-serverless-websocket.yaml,node-postgres-backend,False,5,134,2,-1,3814,369
